Date,RBRUBIS
1994-01,63.83
1994-02,61.36
1994-03,59.22
1994-04,62.47
1994-05,61.94
1994-06,62.33
1994-07,61.64
1994-08,61.37
1994-09,59.9
1994-10,52.13
1994-11,57.7
1994-12,63.15
1995-01,64.78
1995-02,63.64
1995-03,60.19
1995-04,59.64
1995-05,63.8
1995-06,72.14
1995-07,79.79
1995-08,87.64
1995-09,90.89
1995-10,92.85
1995-11,96.84
1995-12,99.57
1996-01,102.76
1996-02,103.71
1996-03,104.86
1996-04,105.95
1996-05,106.66
1996-06,106.25
1996-07,104.43
1996-08,100.65
1996-09,99.5
1996-10,99.99
1996-11,99.96
1996-12,101.43
1997-01,104.4
1997-02,107.48
1997-03,108.72
1997-04,109.16
1997-05,108.96
1997-06,110.31
1997-07,113.13
1997-08,114.62
1997-09,111.94
1997-10,110.57
1997-11,110.33
1997-12,114.48
1998-01,117.15
1998-02,115.89
1998-03,115.76
1998-04,114.72
1998-05,114.19
1998-06,114.79
1998-07,114.54
1998-08,107.36
1998-09,67.31
1998-10,63.09
1998-11,64.82
1998-12,59.12
1999-01,56.21
1999-02,59.62
1999-03,59.59
1999-04,58.61
1999-05,61.87
1999-06,64.52
1999-07,66.64
1999-08,65.17
1999-09,63.89
1999-10,63.2
1999-11,63.7
1999-12,63.6
2000-01,61.68
2000-02,62.31
2000-03,63.64
2000-04,64.47
2000-05,68.28
2000-06,68.27
2000-07,70.92
2000-08,73.26
2000-09,75.15
2000-10,77.32
2000-11,78.6
2000-12,77.5
2001-01,77.05
2001-02,79.05
2001-03,81.36
2001-04,83.23
2001-05,84.43
2001-06,86.68
2001-07,86.98
2001-08,84.44
2001-09,83.87
2001-10,84.82
2001-11,85.89
2001-12,86.01
2002-01,87.88
2002-02,88.7
2002-03,88.23
2002-04,87.71
2002-05,87.06
2002-06,85.01
2002-07,83.44
2002-08,84.18
2002-09,83.96
2002-10,84.68
2002-11,84.25
2002-12,84.35
2003-01,84.03
2003-02,84.96
2003-03,86.16
2003-04,87.32
2003-05,85.02
2003-06,86.61
2003-07,88.98
2003-08,89.6
2003-09,88.06
2003-10,87.7
2003-11,89.48
2003-12,88.69
2004-01,90.18
2004-02,91.65
2004-03,93.59
2004-04,94.61
2004-05,94.85
2004-06,94.38
2004-07,94.44
2004-08,94.72
2004-09,94.69
2004-10,94.43
2004-11,94.18
2004-12,94.98
2005-01,98.54
2005-02,99.52
2005-03,100.7
2005-04,102.43
2005-05,103.71
2005-06,104.96
2005-07,105.8
2005-08,104.47
2005-09,104.68
2005-10,106.02
2005-11,107.69
2005-12,107.58
2006-01,109.89
2006-02,112.87
2006-03,114.59
2006-04,114.1
2006-05,113.19
2006-06,115.32
2006-07,116.21
2006-08,115.85
2006-09,116.32
2006-10,116.75
2006-11,116.56
2006-12,116.25
2007-01,118.82
2007-02,120.0
2007-03,120.08
2007-04,119.61
2007-05,119.89
2007-06,121.0
2007-07,121.7
2007-08,121.64
2007-09,121.8
2007-10,123.08
2007-11,123.14
2007-12,124.26
2008-01,126.05
2008-02,125.94
2008-03,126.81
2008-04,128.16
2008-05,129.19
2008-06,130.17
2008-07,130.63
2008-08,130.83
2008-09,129.89
2008-10,132.98
2008-11,134.93
2008-12,128.76
2009-01,117.54
2009-02,109.58
2009-03,114.13
2009-04,116.45
2009-05,119.4
2009-06,121.36
2009-07,119.86
2009-08,117.53
2009-09,119.2
2009-10,122.74
2009-11,124.18
2009-12,121.32
2010-01,125.46
2010-02,127.5
2010-03,130.59
2010-04,132.74
2010-05,133.15
2010-06,132.68
2010-07,131.88
2010-08,131.93
2010-09,129.25
2010-10,126.04
2010-11,125.29
2010-12,129.35
2011-01,133.96
2011-02,136.48
2011-03,138.47
2011-04,137.31
2011-05,138.71
2011-06,138.42
2011-07,139.27
2011-08,133.99
2011-09,128.71
2011-10,127.49
2011-11,130.72
2011-12,130.1
2012-01,132.48
2012-02,136.64
2012-03,139.29
2012-04,138.88
2012-05,135.75
2012-06,131.05
2012-07,135.36
2012-08,136.12
2012-09,135.51
2012-10,136.46
2012-11,136.77
2012-12,138.37
2013-01,141.73
2013-02,142.31
2013-03,142.05
2013-04,140.02
2013-05,141.39
2013-06,136.71
2013-07,137.2
2013-08,134.77
2013-09,135.9
2013-10,136.69
2013-11,136.04
2013-12,135.18
2014-01,133.24
2014-02,127.67
2014-03,125.24
2014-04,127.55
2014-05,131.71
2014-06,134.98
2014-07,134.63
2014-08,130.63
2014-09,127.15
2014-10,120.33
2014-11,110.01
2014-12,93.08
2015-01,88.23
2015-02,90.82
2015-03,100.56
2015-04,114.1
2015-05,117.8
2015-06,109.53
2015-07,106.26
2015-08,93.41
2015-09,92.76
2015-10,98.12
2015-11,98.58
2015-12,91.8
2016-01,85.71
2016-02,84.51
2016-03,92.42
2016-04,96.12
2016-05,97.98
2016-06,99.65
2016-07,102.58
2016-08,100.56
2016-09,101.27
2016-10,106.03
2016-11,105.74
2016-12,112.2
2017-01,116.42
2017-02,118.24
2017-03,118.87
2017-04,121.52
2017-05,118.76
2017-06,116.38
2017-07,111.72
2017-08,109.33
2017-09,111.37
2017-10,112.55
2017-11,110.51
2017-12,110.65
2018-01,112.03
2018-02,110.14
2018-03,109.92
2018-04,103.52
2018-05,104.14
2018-06,105.17
2018-07,106.72
2018-08,102.21
2018-09,99.85
2018-10,103.52
2018-11,103.7
2018-12,102.73
2019-01,104.12
2019-02,105.86
2019-03,107.13
2019-04,108.45
2019-05,109.23
2019-06,109.93
2019-07,111.78
2019-08,108.39
2019-09,110.13
2019-10,110.36
2019-11,110.98
2019-12,112.48
2020-01,114.2
2020-02,111.85
2020-03,97.31
2020-04,99.22
2020-05,102.71
2020-06,105.68
2020-07,101.36
2020-08,96.4
2020-09,93.33
2020-10,91.48
2020-11,92.24
2020-12,94.23
2021-01,93.81
2021-02,94.25
2021-03,95.97
2021-04,94.1
2021-05,96.19
2021-06,98.84
2021-07,98.49
2021-08,99.0
2021-09,100.16
2021-10,103.64
2021-11,103.16
2021-12,103.04
2022-01,99.53
2022-02,97.16
2022-03,79.34
2022-04,108.24
2022-05,136.17
2022-06,149.92
2022-07,149.58
2022-08,143.44
2022-09,147.59
2022-10,145.85
2022-11,143.31
2022-12,129.54
2023-01,121.99
2023-02,115.95
2023-03,111.3
2023-04,103.36
2023-05,106.9
2023-06,102.92
2023-07,94.33
2023-08,90.47
2023-09,91.05
2023-10,91.98
2023-11,98.49
2023-12,97.45
2024-01,101.02
2024-02,98.44
2024-03,98.28
2024-04,98.26
2024-05,100.95
2024-06,105.26
2024-07,106.05
2024-08,102.39
